                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2704,                 1.6126,                 1.2554,                0.70962,                0.78585,                0.73669,                0.48809,                 1.2296,                 2.1342,                 1.3153,             0.00033244,             0.00033244,             0.00033244
                      2,                 1.2012,                0.99194,                 1.1937,                0.71459,                 0.8398,                0.75174,                0.49717,                 1.1977,                 2.0246,                 1.2668,             0.00063282,             0.00063282,             0.00063282
                      3,                 1.1992,                0.95115,                 1.1846,                0.65582,                0.82291,                0.75827,                 0.5083,                  1.219,                 2.6654,                 1.2841,              0.0009002,              0.0009002,              0.0009002
                      4,                 1.1768,                0.90951,                 1.1758,                0.72294,                 0.8864,                0.78828,                0.53603,                  1.145,                 1.5117,                 1.2158,              0.0008515,              0.0008515,              0.0008515
                      5,                 1.1571,                0.86401,                 1.1656,                0.73714,                0.85439,                0.78491,                0.54345,                 1.1361,                 2.0163,                 1.2309,              0.0008515,              0.0008515,              0.0008515
                      6,                  1.132,                0.83201,                 1.1494,                0.73579,                0.89245,                0.79627,                0.55664,                 1.0802,                 1.2833,                 1.1798,               0.000802,               0.000802,               0.000802
                      7,                 1.0988,                0.78806,                 1.1285,                0.70501,                0.90714,                0.80773,                0.56695,                 1.0813,                 1.5742,                 1.1814,              0.0007525,              0.0007525,              0.0007525
                      8,                 1.0919,                0.77123,                 1.1246,                0.68626,                0.93864,                0.80945,                0.57171,                 1.0404,                 1.2478,                 1.1364,               0.000703,               0.000703,               0.000703
                      9,                 1.0607,                0.73721,                 1.1119,                0.72836,                0.92513,                0.81196,                0.58213,                 1.0028,                 1.6269,                  1.117,              0.0006535,              0.0006535,              0.0006535
                     10,                 1.0423,                0.70274,                 1.0964,                0.74088,                 0.9391,                0.82118,                0.58886,                0.99549,                 1.1386,                 1.1122,               0.000604,               0.000604,               0.000604
                     11,                 1.0156,                0.65686,                 1.0927,                0.74311,                0.92982,                0.82112,                0.59612,                0.96982,                 1.3192,                 1.0863,              0.0005545,              0.0005545,              0.0005545
                     12,                0.99906,                0.63854,                 1.0841,                0.74207,                0.93782,                0.82428,                0.60088,                 0.9413,                 1.0201,                 1.0788,               0.000505,               0.000505,               0.000505
                     13,                0.97782,                0.61137,                 1.0737,                 0.7563,                0.95294,                0.82912,                0.61214,                0.91425,                  1.128,                 1.0578,              0.0004555,              0.0004555,              0.0004555
                     14,                0.95083,                0.58249,                 1.0554,                 0.7695,                0.93973,                0.82955,                0.61784,                0.89349,                0.82911,                 1.0378,               0.000406,               0.000406,               0.000406
                     15,                0.92833,                 0.5641,                 1.0413,                0.76282,                0.95395,                0.82852,                0.62201,                0.87655,                0.80956,                 1.0238,              0.0003565,              0.0003565,              0.0003565
                     16,                0.90644,                0.54568,                 1.0319,                0.77523,                0.95578,                0.83512,                0.63684,                0.84251,                0.66503,                 1.0124,               0.000307,               0.000307,               0.000307
                     17,                0.88845,                 0.5275,                 1.0205,                0.78035,                0.95663,                0.83441,                0.64053,                0.82916,                0.62454,                0.99677,              0.0002575,              0.0002575,              0.0002575
                     18,                0.86954,                0.50832,                 1.0042,                0.77951,                0.96107,                0.83877,                0.64633,                0.80598,                0.63729,                0.97848,               0.000208,               0.000208,               0.000208
                     19,                0.84871,                0.49314,                0.99395,                0.77972,                0.96591,                0.84039,                0.65329,                0.78201,                0.55028,                0.96943,              0.0001585,              0.0001585,              0.0001585
                     20,                0.82745,                0.47803,                0.98427,                0.78284,                0.96611,                0.84299,                0.65885,                0.76076,                0.51732,                0.95723,               0.000109,               0.000109,               0.000109
